Timestamp,Duration,CPU Usage (%),Memory Usage (%),Swap Usage (%),GPU Usage (%),Network Sent (bytes),Network Received (bytes)
2024-04-15 09:00:38,0.02,0.0,17.7,0.1,0,4764471166,71861373612
2024-04-15 09:00:43,5.05,0.3,17.7,0.1,0,4764475702,71861387180
2024-04-15 09:00:48,10.09,0.6,18.7,0.1,0,4764477464,71861399692
2024-04-15 09:00:53,15.12,13.5,18.9,0.1,71,4764569303,71861501891
2024-04-15 09:00:58,20.15,12.9,18.9,0.1,100,4764606166,71861547432
2024-04-15 09:01:03,25.17,13.0,18.9,0.1,78,4764676634,71861625970
2024-04-15 09:01:08,30.2,13.0,18.9,0.1,100,4764816222,71861773354
2024-04-15 09:01:13,35.23,13.0,18.9,0.1,100,4764835440,71861800816
2024-04-15 09:01:18,40.26,12.9,18.9,0.1,100,4764974578,71861948532
2024-04-15 09:01:23,45.3,13.1,18.9,0.1,76,4764992881,71861975789
2024-04-15 09:01:28,50.33,13.1,18.9,0.1,94,4765046894,71862038798
2024-04-15 09:01:33,55.36,13.0,18.9,0.1,65,4765116662,71862117056
2024-04-15 09:01:38,60.38,12.9,18.9,0.1,77,4765202566,71862211648
2024-04-15 09:01:44,65.41,13.0,18.9,0.1,100,4765312022,71862329502
2024-04-15 09:01:49,70.43,13.2,19.0,0.1,77,4765411249,71862438273
2024-04-15 09:01:54,75.46,13.1,19.0,0.1,100,4765467250,71862502570
2024-04-15 09:01:59,80.49,13.8,19.0,0.1,80,4765605895,71862652803
2024-04-15 09:02:04,85.52,13.9,19.0,0.1,70,4765669142,71862724626
2024-04-15 09:02:09,90.55,13.0,19.0,0.1,78,4765689123,71862755407
2024-04-15 09:02:14,95.58,12.9,19.0,0.1,100,4765776632,71862853524
2024-04-15 09:02:19,100.61,13.1,19.0,0.1,72,4765866205,71862950481
2024-04-15 09:02:24,105.64,13.1,19.0,0.1,84,4766035690,71863116608
2024-04-15 09:02:29,110.67,13.2,19.0,0.1,74,4766150117,71863231551
2024-04-15 09:02:34,115.7,13.2,19.0,0.1,67,4766246226,71863330647
2024-04-15 09:02:39,120.73,13.0,19.0,0.1,100,4766318577,71863408712
2024-04-15 09:02:44,125.76,13.3,19.0,0.1,100,4766411596,71863506917
2024-04-15 09:02:49,130.79,13.0,19.0,0.1,69,4766554957,71863652374
2024-04-15 09:02:54,135.82,13.2,19.0,0.1,100,4766599857,71863699166
2024-04-15 09:02:59,140.85,13.1,19.0,0.1,55,4766802272,71863908739
2024-04-15 09:03:04,145.88,13.0,19.0,0.1,81,4766972866,71864074717
2024-04-15 09:03:09,150.91,13.2,19.0,0.1,100,4767038329,71864138285
2024-04-15 09:03:14,155.94,12.9,19.0,0.1,78,4767192566,71864301905
2024-04-15 09:03:19,160.97,14.2,19.0,0.1,100,4767356617,71864475448
2024-04-15 09:03:24,166.0,12.9,19.1,0.1,57,4767509610,71864639479
2024-04-15 09:03:29,171.04,13.8,19.1,0.1,61,4767727010,71864868055
2024-04-15 09:03:34,176.07,13.0,19.1,0.1,67,4767899498,71865050970
2024-04-15 09:03:39,181.1,13.1,19.1,0.1,70,4768050029,71865210239
2024-04-15 09:03:44,186.13,13.2,19.1,0.1,78,4768138081,71865306313
2024-04-15 09:03:49,191.16,13.0,19.2,0.1,100,4768174241,71865350378
2024-04-15 09:03:54,196.19,12.9,19.2,0.1,100,4768227077,71865412614
2024-04-15 09:03:59,201.22,13.1,19.2,0.1,64,4768280927,71865475264
2024-04-15 09:04:04,206.25,13.0,19.3,0.1,81,4768467732,71865670841
2024-04-15 09:04:09,211.28,12.9,19.3,0.1,80,4768604869,71865816898
2024-04-15 09:04:14,216.31,12.9,19.3,0.1,74,4768676625,71865897574
2024-04-15 09:04:19,221.33,13.0,19.3,0.1,100,4768815907,71866047506
2024-04-15 09:04:24,226.36,13.0,19.3,0.1,100,4768887166,71866127235
2024-04-15 09:04:29,231.39,13.0,19.3,0.1,63,4768907161,71866155423
2024-04-15 09:04:35,236.42,12.9,19.3,0.1,89,4768959218,71866216556
2024-04-15 09:04:40,241.45,13.3,19.4,0.1,100,4769028741,71866297527
2024-04-15 09:04:45,246.48,13.0,19.4,0.1,75,4769080568,71866372381
2024-04-15 09:04:50,251.51,13.0,19.4,0.1,92,4769151220,71866451533
2024-04-15 09:04:55,256.54,12.9,19.4,0.1,100,4769241095,71866550184
2024-04-15 09:05:00,261.57,12.9,19.4,0.1,74,4769392682,71866709671
2024-04-15 09:05:05,266.6,13.0,19.4,0.1,98,4769462466,71866787715
2024-04-15 09:05:10,271.63,12.8,19.5,0.1,68,4769599882,71866934201
2024-04-15 09:05:15,276.67,13.0,19.5,0.1,58,4769719348,71867062755
2024-04-15 09:05:20,281.7,13.1,19.5,0.1,57,4769790400,71867143881
2024-04-15 09:05:25,286.73,13.2,19.5,0.1,100,4769909757,71867271924
2024-04-15 09:05:30,291.75,12.9,19.6,0.1,77,4770066030,71867437235
2024-04-15 09:05:35,296.78,13.0,19.6,0.1,90,4770151738,71867532281
2024-04-15 09:05:40,301.81,13.0,19.6,0.1,77,4770218855,71867607956
2024-04-15 09:05:45,306.85,13.0,19.6,0.1,77,4770322891,71867720412
2024-04-15 09:05:50,311.88,12.8,19.6,0.1,100,4770409200,71867815459
2024-04-15 09:05:55,316.91,12.9,19.6,0.1,100,4770513942,71867932719
2024-04-15 09:06:00,321.94,12.9,19.6,0.1,57,4770666343,71868094938
2024-04-15 09:06:05,326.97,13.0,19.6,0.1,89,4770703308,71868140101
2024-04-15 09:06:10,332.0,13.4,19.7,0.1,72,4770756417,71868201176
2024-04-15 09:06:15,337.03,13.2,19.7,0.1,78,4770868411,71868276130
2024-04-15 09:06:20,342.06,13.0,19.7,0.1,76,4770919306,71868335451
2024-04-15 09:06:25,347.09,13.1,19.7,0.1,76,4770920188,71868344841
2024-04-15 09:06:30,352.12,12.9,19.8,0.1,100,4771057330,71868490841
2024-04-15 09:06:35,357.15,12.8,19.8,0.1,100,4771126512,71868568890
2024-04-15 09:06:40,362.18,12.9,19.8,0.1,100,4771194615,71868645371
2024-04-15 09:06:45,367.21,12.9,19.8,0.1,57,4771401083,71868860037
2024-04-15 09:06:50,372.24,12.9,19.9,0.1,100,4771570618,71869038898
2024-04-15 09:06:55,377.27,13.0,19.9,0.1,66,4771624838,71869102458
2024-04-15 09:07:00,382.31,13.3,19.9,0.1,73,4771696339,71869182357
2024-04-15 09:07:05,387.34,13.0,19.9,0.1,100,4771820746,71869315236
2024-04-15 09:07:10,392.37,13.1,19.9,0.1,100,4771907615,71869415283
2024-04-15 09:07:16,397.4,12.9,20.0,0.1,100,4771959305,71869477427
2024-04-15 09:07:21,402.43,12.9,20.0,0.1,100,4772044921,71869571901
2024-04-15 09:07:26,407.46,12.9,20.0,0.1,78,4772198972,71869735200
2024-04-15 09:07:31,412.49,12.9,20.0,0.1,100,4772370213,71869914699
2024-04-15 09:07:36,417.52,13.2,20.0,0.1,85,4772542311,71870094763
2024-04-15 09:07:41,422.55,13.0,20.1,0.1,100,4772561178,71870121588
