Timestamp,Duration,CPU Usage (%),Memory Usage (%),Swap Usage (%),GPU Usage (%),Network Sent (bytes),Network Received (bytes)
2024-04-13 12:34:49,0.03,0.0,21.8,0.1,0,3063023630,69761601848
2024-04-13 12:34:54,5.07,0.6,21.8,0.1,0,3063037664,69761624300
2024-04-13 12:34:59,10.11,0.7,22.6,0.1,0,3063039484,69761635033
2024-04-13 12:35:04,15.14,14.6,19.8,0.1,78,3063154342,69761712987
2024-04-13 12:35:09,20.17,13.1,19.8,0.1,100,3063223226,69761790604
2024-04-13 12:35:14,25.2,13.0,19.8,0.1,74,3063291931,69761869830
2024-04-13 12:35:19,30.24,13.0,19.8,0.1,74,3063310618,69761901915
2024-04-13 12:35:24,35.27,13.0,19.8,0.1,100,3063364236,69761965307
2024-04-13 12:35:29,40.3,13.0,19.8,0.1,96,3063591276,69762200587
2024-04-13 12:35:35,45.33,12.9,19.8,0.1,100,3063748754,69762366505
2024-04-13 12:35:40,50.36,13.0,19.8,0.1,100,3063922998,69762549293
2024-04-13 12:35:45,55.39,12.9,19.8,0.1,100,3064097974,69762731751
2024-04-13 12:35:50,60.42,13.1,19.9,0.1,76,3064184405,69762827014
2024-04-13 12:35:55,65.45,13.0,19.8,0.1,76,3064269421,69762920928
2024-04-13 12:36:00,70.48,13.1,19.9,0.1,75,3064288335,69762948126
2024-04-13 12:36:05,75.51,13.0,19.9,0.1,78,3064307793,69762975745
2024-04-13 12:36:10,80.54,13.0,19.9,0.1,100,3064361004,69763038038
2024-04-13 12:36:15,85.57,12.9,19.9,0.1,76,3064414557,69763101067
2024-04-13 12:36:20,90.6,13.0,19.9,0.1,93,3064588079,69763283735
2024-04-13 12:36:25,95.63,12.9,19.9,0.1,92,3064742383,69763445935
2024-04-13 12:36:30,100.66,13.0,19.9,0.1,78,3064879528,69763592652
2024-04-13 12:36:35,105.69,13.0,19.9,0.1,73,3064987782,69763711902
2024-04-13 12:36:40,110.72,13.0,19.9,0.1,100,3065075137,69763809559
2024-04-13 12:36:45,115.75,12.9,19.9,0.1,76,3065246786,69763988922
